장소명,시간,실/내외,주소,설명,정보,누구와,무엇을,어떻게,이미지,위도,경도,계절,금액
여좌천로망스다리,낮,실외,경남 창원시 진해구 여좌동 217,로망스다리는 2002년 방영되어 큰 사랑을 받은 드라마 <로망스>의 촬영지로 알려진 벚꽃 명소다. 특히 봄에는 분홍빛 벚꽃이 만발해 사랑이 꽃피는 데이트 명소이자 인생 사진 촬영 명소로도 유명하다,카페 /먹거리,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA0MTFfMjYw%2FMDAxNDkxODg3OTY2MzMz.WtSL_paDn4GHbMrdwZs3mlH3OtcaSCOtu_NTOlOWfAgg.Al-hot69unTfZ8Q8aFpqEAd_cFopuWUE9Bkj-sVqLzAg.JPEG.happylion86%2F04075479.JPG%233000x2000,128.659301,35.1543289,봄,무료
여좌천로망스다리,밤,실외,경남 창원시 진해구 여좌동 217,로망스다리는 2002년 방영되어 큰 사랑을 받은 드라마 <로망스>의 촬영지로 알려진 벚꽃 명소다. 특히 봄에는 분홍빛 벚꽃이 만발해 사랑이 꽃피는 데이트 명소이자 인생 사진 촬영 명소로도 유명하다,카페 /먹거리,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA0MTFfMjYw%2FMDAxNDkxODg3OTY2MzMz.WtSL_paDn4GHbMrdwZs3mlH3OtcaSCOtu_NTOlOWfAgg.Al-hot69unTfZ8Q8aFpqEAd_cFopuWUE9Bkj-sVqLzAg.JPEG.happylion86%2F04075479.JPG%233000x2000,128.659301,35.1543289,봄,무료
소쿠리섬,낮,실외,경남 창원시 진해구 명동,실제 사슴이 살고 있는 캠핑으로 유명한 진해의 작은 섬,주차 / 캠핑 사이트,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA3MDZfNjUg%2FMDAxNjg4NjUwOTEyNDcy.UHoDhUnbY5oKLzxwNp1Db2B0ooAwUTdR5pu0mh2pmUUg.Off-tZ5ILgJMzVTRlXyXsxX9EVF-hAog9PqeXPUw6Esg.JPEG.dks900409%2FIMG_6091.JPG,128.7215349,35.096786,봄가을,배편 별도
진해보타닉뮤지엄,낮,실외,경남 창원시 진해구 진해대로1137번길 89 진해보타닉뮤지엄,피어니가든-핑크사파리-스톤팰리스의 세 구간으로 이루어진 진해의 식물원 테마파크,단체석 / 주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAzMDZfNjEg%2FMDAxNTIwMzE1MzM0MzY3.DCOr0aylycpcxPzg7TmtReZ5gzLXSR4ABIot_ubkxJgg.6ozzpJYVPWafugSl66HjJuEKssv9kuBNP-jvQxfcM10g.JPEG.cwopenspace%2Fjpg3.JPG%23966x644,128.7175656,35.1300149,봄여름가을겨울,"평일 대인입장권 [만20세이상]
6000원
평일 소인입장권 [36개월~고등학생]
3000원
주말 대인입장권 [만20세이상]
7000원
주말 소인입장권 [36개월~고등학생]
4000원
36개월 미만 무료[증빙서류 지참시]
무료
체험학습(토끼/앵무새/물고기~18시)
변동"
진해보타닉뮤지엄,밤,실외,경남 창원시 진해구 진해대로1137번길 89 진해보타닉뮤지엄,피어니가든-핑크사파리-스톤팰리스의 세 구간으로 이루어진 진해의 식물원 테마파크,단체석 / 주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAzMDZfNjEg%2FMDAxNTIwMzE1MzM0MzY3.DCOr0aylycpcxPzg7TmtReZ5gzLXSR4ABIot_ubkxJgg.6ozzpJYVPWafugSl66HjJuEKssv9kuBNP-jvQxfcM10g.JPEG.cwopenspace%2Fjpg3.JPG%23966x644,128.7175656,35.1300149,봄여름가을겨울,"평일 대인입장권 [만20세이상]
6000원
평일 소인입장권 [36개월~고등학생]
3000원
주말 대인입장권 [만20세이상]
7000원
주말 소인입장권 [36개월~고등학생]
4000원
36개월 미만 무료[증빙서류 지참시]
무료
체험학습(토끼/앵무새/물고기~18시)
변동"
진해보타닉뮤지엄,낮,실외,경남 창원시 진해구 진해대로1137번길 89 진해보타닉뮤지엄,피어니가든-핑크사파리-스톤팰리스의 세 구간으로 이루어진 진해의 식물원 테마파크,단체석 / 주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAzMDZfNjEg%2FMDAxNTIwMzE1MzM0MzY3.DCOr0aylycpcxPzg7TmtReZ5gzLXSR4ABIot_ubkxJgg.6ozzpJYVPWafugSl66HjJuEKssv9kuBNP-jvQxfcM10g.JPEG.cwopenspace%2Fjpg3.JPG%23966x644,128.7175656,35.1300149,봄여름가을겨울,"평일 대인입장권 [만20세이상]
6000원
평일 소인입장권 [36개월~고등학생]
3000원
주말 대인입장권 [만20세이상]
7000원
주말 소인입장권 [36개월~고등학생]
4000원
36개월 미만 무료[증빙서류 지참시]
무료
체험학습(토끼/앵무새/물고기~18시)
변동"
진해보타닉뮤지엄,밤,실외,경남 창원시 진해구 진해대로1137번길 89 진해보타닉뮤지엄,피어니가든-핑크사파리-스톤팰리스의 세 구간으로 이루어진 진해의 식물원 테마파크,단체석 / 주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAzMDZfNjEg%2FMDAxNTIwMzE1MzM0MzY3.DCOr0aylycpcxPzg7TmtReZ5gzLXSR4ABIot_ubkxJgg.6ozzpJYVPWafugSl66HjJuEKssv9kuBNP-jvQxfcM10g.JPEG.cwopenspace%2Fjpg3.JPG%23966x644,128.7175656,35.1300149,봄여름가을겨울,"평일 대인입장권 [만20세이상]
6000원
평일 소인입장권 [36개월~고등학생]
3000원
주말 대인입장권 [만20세이상]
7000원
주말 소인입장권 [36개월~고등학생]
4000원
36개월 미만 무료[증빙서류 지참시]
무료
체험학습(토끼/앵무새/물고기~18시)
변동"
경화역 벚꽃길,낮,실외,경남 창원시 진해구 진해대로 663 경화동자율방범대,한국에서 가봐야 할 아름다운 50곳 중 5번째로 소개된 경화역은 현재는 기차가 다니지 않지만 군항제 기간엔 벚꽃 테마파크로 변신한다,주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjVfMjc4%2FMDAxNjc5NzQwOTc2NzAz.WBPj6g2HUpLU-6RQTtkIq0O7u64YZUtAgS760swskF4g.iMaU7v0FETwgaoizdrdqeXddhyMA4sg9NdKFjibc9-gg.JPEG.dyjaeminkr1%2FIMG_0613.JPG,128.6862956,35.15916,봄,무료
경화역 벚꽃길,낮,실외,경남 창원시 진해구 진해대로 663 경화동자율방범대,한국에서 가봐야 할 아름다운 50곳 중 5번째로 소개된 경화역은 현재는 기차가 다니지 않지만 군항제 기간엔 벚꽃 테마파크로 변신한다,주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjVfMjc4%2FMDAxNjc5NzQwOTc2NzAz.WBPj6g2HUpLU-6RQTtkIq0O7u64YZUtAgS760swskF4g.iMaU7v0FETwgaoizdrdqeXddhyMA4sg9NdKFjibc9-gg.JPEG.dyjaeminkr1%2FIMG_0613.JPG,128.6862956,35.15916,봄,무료
경화역 벚꽃길,낮,실외,경남 창원시 진해구 진해대로 663 경화동자율방범대,한국에서 가봐야 할 아름다운 50곳 중 5번째로 소개된 경화역은 현재는 기차가 다니지 않지만 군항제 기간엔 벚꽃 테마파크로 변신한다,주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjVfMjc4%2FMDAxNjc5NzQwOTc2NzAz.WBPj6g2HUpLU-6RQTtkIq0O7u64YZUtAgS760swskF4g.iMaU7v0FETwgaoizdrdqeXddhyMA4sg9NdKFjibc9-gg.JPEG.dyjaeminkr1%2FIMG_0613.JPG,128.6862956,35.15916,봄,무료
경화역 벚꽃길,낮,실외,경남 창원시 진해구 진해대로 663 경화동자율방범대,한국에서 가봐야 할 아름다운 50곳 중 5번째로 소개된 경화역은 현재는 기차가 다니지 않지만 군항제 기간엔 벚꽃 테마파크로 변신한다,주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjVfMjc4%2FMDAxNjc5NzQwOTc2NzAz.WBPj6g2HUpLU-6RQTtkIq0O7u64YZUtAgS760swskF4g.iMaU7v0FETwgaoizdrdqeXddhyMA4sg9NdKFjibc9-gg.JPEG.dyjaeminkr1%2FIMG_0613.JPG,128.6862956,35.15916,여름가을,무료
경화역 벚꽃길,낮,실외,경남 창원시 진해구 진해대로 663 경화동자율방범대,한국에서 가봐야 할 아름다운 50곳 중 5번째로 소개된 경화역은 현재는 기차가 다니지 않지만 군항제 기간엔 벚꽃 테마파크로 변신한다,주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjVfMjc4%2FMDAxNjc5NzQwOTc2NzAz.WBPj6g2HUpLU-6RQTtkIq0O7u64YZUtAgS760swskF4g.iMaU7v0FETwgaoizdrdqeXddhyMA4sg9NdKFjibc9-gg.JPEG.dyjaeminkr1%2FIMG_0613.JPG,128.6862956,35.15916,여름가을,무료
